The	994725,5050928,30171000,5.077712935736008,4.5478273461798935
brown	994890,5048821,30136967,5.074752987767492,4.538639995925923
dog	994796,5052062,30178044,5.078490464376616,4.544846689733923
fox	994840,5049836,30145088,5.076028306059266,4.535380084277776
jumped	994787,5048552,30139224,5.075008016791534,4.541456740800864
lazy	994884,5055549,30205011,5.081546190309624,4.538222786904171
over	994787,5046572,30109698,5.073017640962337,4.5319744001614595
quick	994809,5045044,30089084,5.071369478965309,4.527303068592001
sir	994867,5055874,30216790,5.0819596991356635,4.54637864970109
the	994837,5050866,30163832,5.07707895866358,4.543645349309205
