"Startled"?		199,235,327,1.1809045226130652,-0.0030461298258639413
$1000.00.		63,67,75,1.0634920634920635,-0.011612384035980527
$550.00		60,65,75,1.0833333333333333,-0.019764957264957195
(415.782.7805)		177,228,384,1.2881355932203389,0.024917219794674983
(soon).		61,63,67,1.0327868852459017,-0.0031566868438677176
+.08		97,140,564,1.443298969072165,1.9454595144466542
-		277,459,1547,1.6570397111913358,0.6245897659053048
-01-26-01.doc		79,91,117,1.1518987341772151,-0.0411564080847846
-0500		111,169,379,1.5225225225225225,-0.07547128129248692
.		159,177,217,1.1132075471698113,-0.013242342510855876
...		133,143,167,1.0751879699248121,0.011802997161129092
....		253,389,1683,1.5375494071146245,1.962419969781724
.Thanks.		92,115,173,1.25,-0.0581521739130435
05/16/01		162,235,601,1.4506172839506173,0.45315630401437224
1.		59,61,65,1.0338983050847457,-0.0033719347653065057
10th.		52,53,55,1.0192307692307692,-0.001095511890141676
12-14ME1.DOC		276,420,1308,1.5217391304347827,0.7985957331893059
15.		78,87,113,1.1153846153846154,0.0547677344759574
16.00		48,49,51,1.0208333333333333,-0.0012843679138319075
17.00		48,48,48,1.0,0.0
17.10		51,51,51,1.0,0.0
1998.doc		147,182,292,1.2380952380952381,0.07151578580150009
19th.		316,365,501,1.1550632911392404,0.03843153318861359
2.79		44,44,44,1.0,0.0
2/00-4/00		55,55,55,1.0,0.0
2000.		366,615,3811,1.680327868852459,3.373246220637428
2000.xls		309,483,1441,1.5631067961165048,0.5401339969364658
20000.		79,84,96,1.0632911392405062,0.012269096069769114
2000bidltr.doc		87,104,142,1.1954022988505748,-0.06360204071262365
202-466-9174		139,177,341,1.2733812949640289,0.3050537499521171
281-334-2024.		52,56,64,1.0769230769230769,-0.01690617075232459
29		56,58,62,1.0357142857142858,-0.0037385643912739575
29-Thanks		59,60,62,1.0169491525423728,-8.522455233168635E-4
3-9746		223,347,823,1.5560538116591929,-0.04954553970705655
31991.		66,69,75,1.0454545454545454,-0.006018684872439728
32614_2.xls		792,1524,6380,1.9242424242424243,0.4836427987823835
336-8539		115,137,183,1.191304347826087,-0.08343962579167408
35539.		66,68,72,1.0303030303030303,-0.0027008048398422524
4.67		55,57,61,1.0363636363636364,-0.003874148180368353
5,720,000		126,142,174,1.126984126984127,-0.04474110979811852
5.31%.		79,95,129,1.2025316455696202,-0.08818762175427342
512-370-8225.		74,77,83,1.0405405405405406,-0.004802538586322402
53453		45,45,45,1.0,0.0
55-11-5548-5528		247,320,540,1.2955465587044535,0.009059114229048149
588471;588452;588605;596991		46,46,46,1.0,0.0
729-7910		128,171,271,1.3359375,-0.19993368226882313
77002		57,60,66,1.0526315789473684,-0.008033240997229685
917-971-0676.		48,48,48,1.0,0.0
>		3966,8584,119266,2.1643973777105394,9.20937280776235
>http://www.mediatrip.com/shows/phone_flash.html		88,198,808,2.25,-0.9816919191919196
@houston.rr.com		56,56,56,1.0,0.0
ANITAREED		62,79,113,1.2741935483870968,-0.19318945191585746
AUGCAL~1.WPD		65,78,106,1.2,-0.08102564102564092
AUGUST.WPD		210,277,619,1.319047619047619,0.49477041839599845
AcqShipper.doc		125,155,269,1.24,0.19788387096774196
Advantage.xls		426,511,771,1.199530516431925,0.06993280237947919
Alex		149,236,502,1.5838926174496644,-0.38159717954375205
Amoco		89,100,126,1.1235955056179776,-0.0024668602449187116
Assumptions.ppt		451,569,1479,1.2616407982261642,1.0075595085535318
BLANKETS.		82,87,97,1.0609756097560976,-0.01072671576169082
BRS		412,770,4364,1.8689320388349515,2.174625501748699
Barbara		802,1113,2421,1.387780548628429,0.2492673051828087
Bill		119,152,238,1.2773109243697478,-0.06573372383008902
Bob.		129,159,267,1.2325581395348837,0.16004571568517423
Bradley		1600,3199,22409,1.999375,3.007501172363434
Brian.		132,167,253,1.2651515151515151,-0.08563829640993492
CLEAR.		49,49,49,1.0,0.0
CNNfn.		209,289,569,1.3827751196172249,0.05679110005545862
COOL		42,44,48,1.0476190476190477,-0.006596578025149569
CST?		175,210,308,1.2,0.026666666666666616
Carrie		203,296,858,1.458128078817734,0.7725111544119527
Celso		110,126,162,1.1454545454545455,-0.026351829988193742
Cheers		108,118,144,1.0925925925925926,0.026580409662644522
Congratulations.		49,49,49,1.0,0.0
Dad		59,59,59,1.0,0.0
Dan		155,223,483,1.4387096774193548,0.09603374661110653
EB3209C		41,41,41,1.0,0.0
ECA.DOC		254,341,799,1.3425196850393701,0.5407493996806176
EDD		147,182,276,1.2380952380952381,-0.016396302110587957
EOT(1).DOC		319,556,2306,1.7429467084639498,1.1096187858431725
ERROR		51,51,51,1.0,0.0
Ed		173,252,558,1.4566473988439306,0.09246406972692567
FGJ		111,131,171,1.1801801801801801,-0.08748174623974059
FURNLET.DOC		485,709,1691,1.4618556701030927,0.24802736509068168
Ferc		49,50,52,1.0204081632653061,-0.001232819658475659
FingerPig.avi		160,202,310,1.2625,-0.059252784653465174
Frank		159,204,332,1.2830188679245282,-0.01868643505818124
Friday.		114,142,316,1.2456140350877194,0.6737977882685462
Gray		102,128,192,1.2549019607843137,-0.07477893118031531
Group		188,262,528,1.3936170212765957,0.07309877358066741
Heather		149,174,240,1.167785234899329,0.015587989978705474
I		90,101,135,1.1222222222222222,0.07725094731695403
IF		49,50,52,1.0204081632653061,-0.001232819658475659
Jeremy		212,384,1332,1.8113207547169812,0.1878671235315057
Joe.		51,51,51,1.0,0.0
John		133,163,259,1.2255639097744362,0.08695015827312158
Jose		820,1595,11903,1.9451219512195121,3.6791965196488885
Judy?		63,67,75,1.0634920634920635,-0.011612384035980527
Julie.		91,107,147,1.1758241758241759,-0.008730716751667922
KG		245,297,457,1.2122448979591838,0.06918284609246683
Kathleen.		45,45,45,1.0,0.0
Keith		248,341,1069,1.375,1.2442723607038122
Kevin		88,105,145,1.1931818181818181,-0.04273047028728838
Ladies?		48,48,48,1.0,0.0
Laine		1036,1648,6596,1.5907335907335907,1.4719938277778364
Maggie		434,613,1493,1.412442396313364,0.44056928296931863
Mary		906,1446,6408,1.596026490066225,1.8842347127164296
Matrix.doc		227,321,1021,1.4140969162995596,1.181015269567528
Mkbass1		145,176,238,1.2137931034482758,-0.12102097070586959
Monday.		85,96,122,1.1294117647058823,-0.004737600922722018
NICE		40,41,43,1.025,-0.001844512195121828
NOMINATED		57,57,57,1.0,0.0
NY003675655.DOC		220,273,427,1.240909090909091,0.024247192201737544
NY003678709.DOC		400,486,1358,1.215,1.3180136831275717
NY991050085.DOC		447,560,1680,1.2527964205816555,1.4305011285777918
OK		47,47,47,1.0,0.0
Objectives.doc		406,467,659,1.1502463054187193,0.08806834051084333
Olinger		80,84,94,1.05,0.016547619047619033
PAY		47,48,50,1.0212765957446808,-0.0013392183491773846
PENALTY		46,46,46,1.0,0.0
PRC?		61,64,70,1.0491803278688525,-0.007029360386992867
Paris.		116,145,241,1.25,0.09956896551724137
Pete		1984,3452,13740,1.7399193548387097,0.9529819132810546
Peter		63,74,98,1.1746031746031746,-0.05536829346353156
Point(s).		138,169,277,1.2246376811594204,0.13931580432234747
Qualifications.		277,379,1205,1.3682310469314078,1.3073633272789464
RGGDEE@AOL.com		185,227,355,1.227027027027027,0.05828132692759458
RP		120,158,270,1.3166666666666667,-0.024750351617440103
Randall.L.Gay@ENRON.COM		45,46,48,1.0222222222222221,-0.0014600107353728298
Randy		247,266,312,1.0769230769230769,0.01316901721760022
Receipts.xls		476,567,1037,1.1911764705882353,0.41002277817445076
Regards/Marcus.		309,585,2691,1.8932038834951457,1.0157790555188986
Reitmeyer		102,130,212,1.2745098039215685,0.006393990477035594
Resume4.doc		153,192,352,1.2549019607843137,0.25855440215301795
Retail!		229,313,839,1.3668122270742358,0.8123355180289937
Richard		443,744,3104,1.6794582392776525,1.3514630332750954
Rick		170,245,543,1.4411764705882353,0.13933691123508218
Rob		3569,5521,20691,1.5469319137013169,1.3546922901267737
SANDIEGO.DOC		369,467,727,1.2655826558265582,-0.04495427671615637
Scotty		47,48,50,1.0212765957446808,-0.0013392183491773846
Services		143,192,336,1.3426573426573427,-0.052728739791676915
Shielah		130,179,325,1.376923076923077,-0.08027470166275497
Stacey		47,48,50,1.0212765957446808,-0.0013392183491773846
Subject:		99,114,152,1.1515151515151516,0.007346189164370687
Sullivan		60,61,63,1.0166666666666666,-8.242258652093604E-4
TERM2.DOC)		925,2386,67504,2.5794594594594593,21.638090489628752
TWPL.xls		93,120,188,1.2903225806451613,-0.09826569545612207
Team		172,245,559,1.4244186046511629,0.2526642917848583
Thanks		837,954,1338,1.1397849462365592,0.10340599960296393
Thanks.		3975,4717,8801,1.1866666666666668,0.4576267590040748
Thanks...		138,191,339,1.3840579710144927,-0.14074735718111042
Tracee		366,482,938,1.3169398907103824,0.211727415542033
WATERB~1.DOC		117,138,186,1.1794871794871795,-0.04336391961810038
WK		74,89,125,1.2027027027027026,-0.041999409065913484
Wednesay.		84,92,110,1.0952380952380953,-0.0038943113477276636
West.		108,128,168,1.1851851851851851,-0.0921639231824416
